Strain,Country,Human_subject,Study_accession,score,Sample_accession,
GUT_GENOME144265,United States,Unknown,PRJNA230969,102.2744512,SAMN05591592,
GUT_GENOME144266,United States,Unknown,PRJNA230969,101.9277711,SAMN05591593,
GUT_GENOME144267,United States,Unknown,PRJNA230969,100.0253522,SAMN05591503,
GUT_GENOME144268,NA,human faeces 1947, ATCC,PRJNA230969,99.83688603,SAMN05591568
GUT_GENOME144269,United States,Unknown,PRJNA230969,100.5518443,SAMN05591573,
GUT_GENOME144270,United States,Unknown,PRJNA230969,100.5625178,SAMN05591574,
GUT_GENOME144271,Canada,Unknown,PRJNA230969,100.9407799,SAMN04992558,
GUT_GENOME144272,Zambia,Unknown,PRJNA230969,101.7319615,SAMN04992568,
GUT_GENOME144273,Mexico,Unknown,PRJNA230969,101.4073146,SAMN04992441,
GUT_GENOME144274,Mexico,Unknown,PRJNA230969,101.875922,SAMN04992436,
GUT_GENOME144275,Brazil,Unknown,PRJNA230969,98.48524462,SAMN04992411,
GUT_GENOME144276,Mexico,Unknown,PRJNA230969,101.3626644,SAMN04992454,
GUT_GENOME144277,Canada,Unknown,PRJNA230969,101.704677,SAMN04992563,
GUT_GENOME144278,Canada,Unknown,PRJNA230969,101.1281473,SAMN04992561,
GUT_GENOME144279,Mexico,Unknown,PRJNA230969,101.3850827,SAMN04992455,
GUT_GENOME144280,Mexico,Unknown,PRJNA230969,98.41890029,SAMN04992442,
GUT_GENOME144281,Mexico,Unknown,PRJNA230969,102.1149714,SAMN04992443,
GUT_GENOME144282,Mexico,Unknown,PRJNA230969,99.82098346,SAMN04992435,
GUT_GENOME144283,Brazil,Unknown,PRJNA230969,99.70885265,SAMN04992413,
GUT_GENOME144284,Mexico,Unknown,PRJNA230969,101.5794563,SAMN04992414,
GUT_GENOME144285,Brazil,Unknown,PRJNA230969,102.2648139,SAMN04992412,
GUT_GENOME144286,Mexico,Unknown,PRJNA230969,100.8955868,SAMN06048797,
GUT_GENOME144287,India,Unknown,PRJNA230969,100.3162672,SAMN04279536,
GUT_GENOME144288,United States,Unknown,PRJNA230969,100.0665731,SAMN04279502,
GUT_GENOME144289,United States,Unknown,PRJNA230969,101.6923442,SAMN04279501,
GUT_GENOME144290,United States,Unknown,PRJNA230969,96.05618478,SAMN04279461,
GUT_GENOME144291,United States,Unknown,PRJNA230969,102.1445852,SAMN04279453,
GUT_GENOME144292,Mexico,Unknown,PRJNA230969,100.8213937,SAMN04279370,
GUT_GENOME144293,United States,Unknown,PRJNA230969,102.0791937,SAMN04992501,
GUT_GENOME144294,Saudi Arabia,Unknown,PRJNA230969,101.3221822,SAMN04992497,
GUT_GENOME144295,Saudi Arabia,Unknown,PRJNA230969,102.3193495,SAMN04992496,
GUT_GENOME144296,Saudi Arabia,Unknown,PRJNA230969,99.28155314,SAMN04992495,
GUT_GENOME144297,Saudi Arabia,Unknown,PRJNA230969,101.2299308,SAMN04992493,
GUT_GENOME144298,Saudi Arabia,Unknown,PRJNA230969,101.9247071,SAMN04992492,
GUT_GENOME144299,Saudi Arabia,Unknown,PRJNA230969,101.8777849,SAMN04992491,
GUT_GENOME144300,Saudi Arabia,Unknown,PRJNA230969,101.7992746,SAMN04992490,
GUT_GENOME144301,Saudi Arabia,Unknown,PRJNA230969,101.7893682,SAMN04992489,
GUT_GENOME144302,Saudi Arabia,Unknown,PRJNA230969,100.5280589,SAMN04992488,
GUT_GENOME144303,Saudi Arabia,Unknown,PRJNA230969,101.4794658,SAMN04992487,
GUT_GENOME144304,Saudi Arabia,Unknown,PRJNA230969,101.9297012,SAMN04992486,
GUT_GENOME144305,Saudi Arabia,Unknown,PRJNA230969,102.1042119,SAMN04992485,
GUT_GENOME144306,Saudi Arabia,Unknown,PRJNA230969,101.6051014,SAMN04992484,
GUT_GENOME144307,Saudi Arabia,Unknown,PRJNA230969,99.28855048,SAMN04992483,
GUT_GENOME144308,Saudi Arabia,Unknown,PRJNA230969,99.75081459,SAMN04992481,
GUT_GENOME144309,Saudi Arabia,Unknown,PRJNA230969,101.0571741,SAMN04992482,
GUT_GENOME144310,Saudi Arabia,Unknown,PRJNA230969,101.9147994,SAMN04992480,
GUT_GENOME144311,Saudi Arabia,Unknown,PRJNA230969,101.9511956,SAMN04992479,
GUT_GENOME144312,Saudi Arabia,Unknown,PRJNA230969,100.5722879,SAMN04992477,
GUT_GENOME144313,Saudi Arabia,Unknown,PRJNA230969,102.3926983,SAMN04992472,
GUT_GENOME144314,Saudi Arabia,Unknown,PRJNA230969,101.0732529,SAMN04992471,
GUT_GENOME144315,Saudi Arabia,Unknown,PRJNA230969,100.9077298,SAMN04992467,
GUT_GENOME144316,Saudi Arabia,Unknown,PRJNA230969,102.1513511,SAMN04992476,
GUT_GENOME144317,Saudi Arabia,Unknown,PRJNA230969,102.0948072,SAMN04992468,
GUT_GENOME144318,Saudi Arabia,Unknown,PRJNA230969,100.478421,SAMN04992466,
GUT_GENOME144319,Saudi Arabia,Unknown,PRJNA230969,102.1090826,SAMN04992465,
GUT_GENOME144320,Saudi Arabia,Unknown,PRJNA230969,101.6648183,SAMN04992463,
GUT_GENOME144321,Saudi Arabia,Unknown,PRJNA230969,101.9462758,SAMN04992464,
GUT_GENOME144322,Saudi Arabia,Unknown,PRJNA230969,99.8473405,SAMN04992461,
GUT_GENOME144323,Saudi Arabia,Unknown,PRJNA230969,101.9139868,SAMN04992460,
GUT_GENOME144324,Mexico,Unknown,PRJNA230969,101.6140184,SAMN04992456,
GUT_GENOME144325,Mexico,Unknown,PRJNA230969,102.1745407,SAMN04992457,
GUT_GENOME144326,Mexico,Unknown,PRJNA230969,101.7163861,SAMN04992453,
GUT_GENOME144327,Mexico,Unknown,PRJNA230969,101.3579563,SAMN04992452,
GUT_GENOME144328,Mexico,Unknown,PRJNA230969,102.3495278,SAMN04992451,
GUT_GENOME144329,Mexico,Unknown,PRJNA230969,99.34120446,SAMN04992450,
GUT_GENOME144330,Mexico,Unknown,PRJNA230969,99.83717463,SAMN04992445,
GUT_GENOME144331,Mexico,Unknown,PRJNA230969,102.2222577,SAMN04992446,
GUT_GENOME144332,Mexico,Unknown,PRJNA230969,100.4987665,SAMN04992444,
GUT_GENOME144333,Mexico,Unknown,PRJNA230969,101.1568262,SAMN04992440,
GUT_GENOME144334,Mexico,Unknown,PRJNA230969,101.0831011,SAMN04992439,
GUT_GENOME144335,Mexico,Unknown,PRJNA230969,101.840287,SAMN04992438,
GUT_GENOME144336,Mexico,Unknown,PRJNA230969,98.98730982,SAMN04992437,
GUT_GENOME144337,Mexico,Unknown,PRJNA230969,102.1046123,SAMN04993067,
GUT_GENOME144338,Brazil,Unknown,PRJNA412895,102.4146105,SAMN07731446,
GUT_GENOME144339,China,Unknown,PRJNA407669,101.121609,SAMN07660899,
GUT_GENOME144340,Bangladesh,Unknown,PRJNA398221,101.3190502,SAMN07503738,
GUT_GENOME144341,Bangladesh,Unknown,PRJNA398221,101.762176,SAMN07503737,
GUT_GENOME144342,Bangladesh,Unknown,PRJNA398221,100.2533304,SAMN07503736,
GUT_GENOME144343,United States,Unknown,PRJNA230969,101.1819532,SAMN05597620,
GUT_GENOME144344,United States,Unknown,PRJNA230969,101.7544228,SAMN05296554,
GUT_GENOME144345,United States,Unknown,PRJNA230969,101.1193023,SAMN05597619,
GUT_GENOME144346,United States,Unknown,PRJNA230969,101.190868,SAMN05597612,
GUT_GENOME144347,Mexico,Unknown,PRJNA230969,102.312911,SAMN04993066,
GUT_GENOME144348,Mexico,Unknown,PRJNA230969,100.6921248,SAMN04992997,
GUT_GENOME144349,Mexico,Unknown,PRJNA230969,101.6446555,SAMN04993065,
GUT_GENOME144350,Mexico,Unknown,PRJNA230969,102.0729938,SAMN04993064,
GUT_GENOME144351,Mexico,Unknown,PRJNA230969,100.3940328,SAMN04993000,
GUT_GENOME144352,Mexico,Unknown,PRJNA230969,100.3338723,SAMN04992998,
GUT_GENOME144353,Mexico,Unknown,PRJNA230969,102.1332821,SAMN04992993,
GUT_GENOME144354,Saudi Arabia,Unknown,PRJNA230969,99.55982092,SAMN05452906,
GUT_GENOME144355,Mexico,Unknown,PRJNA230969,102.3055413,SAMN04993063,
GUT_GENOME144356,Mexico,Unknown,PRJNA230969,102.4484525,SAMN04993062,
GUT_GENOME144357,Mexico,Unknown,PRJNA230969,99.44124718,SAMN04993061,
GUT_GENOME144358,Mexico,Unknown,PRJNA230969,101.8793939,SAMN04993018,
GUT_GENOME144359,Mexico,Unknown,PRJNA230969,100.4086574,SAMN04992999,
GUT_GENOME144360,Mexico,Unknown,PRJNA230969,101.6440882,SAMN04992996,
GUT_GENOME144361,United States,Unknown,PRJNA230969,99.70045142,SAMN05597616,
GUT_GENOME144362,United States,Unknown,PRJNA230969,101.0670348,SAMN05597621,
GUT_GENOME144363,United States,Unknown,PRJNA230969,101.6747881,SAMN05216608,
GUT_GENOME144364,United States,Unknown,PRJNA230969,101.6461075,SAMN05216607,
GUT_GENOME144365,Germany,Unknown,PRJNA230969,101.9727603,SAMN05296556,
GUT_GENOME144366,Germany,Unknown,PRJNA230969,100.5616349,SAMN05296555,
GUT_GENOME144367,United States,Unknown,PRJNA230969,101.5597192,SAMN04279473,
GUT_GENOME144368,United States,Unknown,PRJNA230969,100.9118232,SAMN04279472,
GUT_GENOME144369,United States,Unknown,PRJNA230969,100.4930408,SAMN04279471,
GUT_GENOME144370,United States,Unknown,PRJNA230969,96.71315067,SAMN04279500,
GUT_GENOME144371,United States,Unknown,PRJNA230969,98.02481034,SAMN04279503,
GUT_GENOME144372,Mexico,Unknown,PRJNA230969,100.9321813,SAMN06555275,
GUT_GENOME144373,Mexico,Unknown,PRJNA230969,101.2302257,SAMN06240045,
GUT_GENOME144374,Mexico,Unknown,PRJNA230969,101.1314906,SAMN06555272,
GUT_GENOME144375,Mexico,Unknown,PRJNA230969,101.1000582,SAMN04992994,
GUT_GENOME144376,Singapore,Unknown,PRJNA230969,100.6828366,SAMN04881291,
GUT_GENOME144377,United States,Unknown,PRJNA230969,102.3530774,SAMN04902859,
GUT_GENOME144378,Singapore,Unknown,PRJNA230969,102.2657017,SAMN04881293,
GUT_GENOME144379,Singapore,Unknown,PRJNA230969,101.5906088,SAMN04881294,
GUT_GENOME144380,Singapore,Unknown,PRJNA230969,102.1585385,SAMN04902895,
GUT_GENOME144381,Singapore,Unknown,PRJNA230969,102.2722621,SAMN04881292,
GUT_GENOME144382,United States,Unknown,PRJNA230969,102.323313,SAMN04902858,
GUT_GENOME144383,United States,Unknown,PRJNA230969,101.8301718,SAMN05439564,
GUT_GENOME144384,Norway,Unknown,PRJNA230969,94.73258612,SAMN05439498,
GUT_GENOME144385,Norway,Unknown,PRJNA230969,102.0094371,SAMN05439461,
GUT_GENOME144386,Norway,Unknown,PRJNA230969,101.0033469,SAMN05439501,
GUT_GENOME144387,United States,Unknown,PRJNA230969,102.1520997,SAMN05439453,
GUT_GENOME144388,United States,Unknown,PRJNA230969,101.2231956,SAMN05439460,
GUT_GENOME144389,United States,Unknown,PRJNA230969,101.8962739,SAMN05439421,
GUT_GENOME144390,Norway,Unknown,PRJNA230969,102.2182756,SAMN05439499,
GUT_GENOME144391,Norway,Unknown,PRJNA230969,101.0465123,SAMN05439500,
GUT_GENOME144392,Norway,Unknown,PRJNA230969,102.1284731,SAMN05439502,
GUT_GENOME144393,Norway,Unknown,PRJNA230969,100.6347161,SAMN05439463,
GUT_GENOME144394,Norway,Unknown,PRJNA230969,102.3053864,SAMN05439462,
GUT_GENOME144395,Norway,Unknown,PRJNA230969,102.2177021,SAMN05439464,
GUT_GENOME144396,Norway,Unknown,PRJNA230969,102.3777196,SAMN05439465,
GUT_GENOME144397,Norway,Unknown,PRJNA230969,101.8396719,SAMN05439466,
GUT_GENOME144398,United States,Unknown,PRJNA230969,102.0258401,SAMN05439451,
GUT_GENOME144399,United States,Unknown,PRJNA230969,101.9923499,SAMN05439454,
GUT_GENOME144400,United States,Unknown,PRJNA230969,101.7603584,SAMN05439455,
GUT_GENOME144401,United States,Unknown,PRJNA230969,102.0642176,SAMN05439452,
GUT_GENOME144402,United States,Unknown,PRJNA230969,101.4825632,SAMN05439458,
GUT_GENOME144403,United States,Unknown,PRJNA230969,102.137505,SAMN05439456,
GUT_GENOME144404,United States,Unknown,PRJNA230969,101.8586292,SAMN05439457,
GUT_GENOME144405,United States,Unknown,PRJNA230969,101.8722661,SAMN05439459,
GUT_GENOME144406,United States,Unknown,PRJNA230969,102.4462321,SAMN05439350,
GUT_GENOME144407,Norway,Unknown,PRJNA230969,102.2568899,SAMN06240051,
GUT_GENOME144408,United States,Unknown,PRJNA230969,101.4556555,SAMN06240049,
GUT_GENOME144409,Mexico,Unknown,PRJNA355006,98.45590731,SAMN06059905,
GUT_GENOME144410,Netherlands,Unknown,PRJNA352198,101.8261151,SAMN05977321,
GUT_GENOME144411,Netherlands,Unknown,PRJNA352198,98.72955439,SAMN05977322,
GUT_GENOME144412,Netherlands,Unknown,PRJNA352198,101.772782,SAMN05977325,
GUT_GENOME144413,Netherlands,Unknown,PRJNA352198,101.6162591,SAMN05977323,
GUT_GENOME144414,Netherlands,Unknown,PRJNA352198,100.5979003,SAMN05977324,
GUT_GENOME144415,Netherlands,Unknown,PRJNA352198,101.7083261,SAMN05977326,
GUT_GENOME144416,Netherlands,Unknown,PRJNA352198,99.40672155,SAMN05977327,
GUT_GENOME144417,Netherlands,Unknown,PRJNA352198,101.9053885,SAMN05977328,
GUT_GENOME144418,Netherlands,Unknown,PRJNA352198,99.57766731,SAMN05977329,
GUT_GENOME144419,Netherlands,Unknown,PRJNA352198,102.3552951,SAMN05977330,
GUT_GENOME144420,Netherlands,Unknown,PRJNA352198,102.0532994,SAMN05977332,
GUT_GENOME144421,Netherlands,Unknown,PRJNA352198,100.7997826,SAMN05977333,
GUT_GENOME144422,Netherlands,Unknown,PRJNA352198,102.4745805,SAMN05977331,
GUT_GENOME144423,Netherlands,Unknown,PRJNA352198,92.94419346,SAMN05977340,
GUT_GENOME144424,Netherlands,Unknown,PRJNA352198,101.5300102,SAMN05977338,
GUT_GENOME144425,Netherlands,Unknown,PRJNA352198,100.8541082,SAMN05977342,
GUT_GENOME144426,Netherlands,Unknown,PRJNA352198,101.7382825,SAMN05977336,
GUT_GENOME144427,Netherlands,Unknown,PRJNA352198,101.6682619,SAMN05977337,
GUT_GENOME144428,Netherlands,Unknown,PRJNA352198,101.7779088,SAMN05977341,
GUT_GENOME144429,Netherlands,Unknown,PRJNA352198,101.7351248,SAMN05977339,
GUT_GENOME144430,Netherlands,Unknown,PRJNA352198,101.8203256,SAMN05977335,
GUT_GENOME144431,Netherlands,Unknown,PRJNA352198,99.33535238,SAMN05977334,
GUT_GENOME144432,Canada,Unknown,PRJNA231221,102.1665608,SAMN07312477,
GUT_GENOME144433,Netherlands,Unknown,PRJNA352198,102.2304593,SAMN05977346,
GUT_GENOME144434,Netherlands,Unknown,PRJNA352198,100.6419055,SAMN05977351,
GUT_GENOME144435,Netherlands,Unknown,PRJNA352198,98.05119696,SAMN05977344,
GUT_GENOME144436,Netherlands,Unknown,PRJNA352198,94.45576114,SAMN05977348,
GUT_GENOME144437,Netherlands,Unknown,PRJNA352198,101.2469547,SAMN05977358,
GUT_GENOME144438,Germany,Unknown,PRJNA352198,100.6282519,SAMN05977364,
GUT_GENOME144439,Germany,Unknown,PRJNA352198,101.497404,SAMN05977367,
GUT_GENOME144440,Netherlands,Unknown,PRJNA352198,97.71463593,SAMN05977361,
GUT_GENOME144441,Germany,Unknown,PRJNA352198,101.2490939,SAMN05977368,
GUT_GENOME144442,Germany,Unknown,PRJNA352198,101.3949829,SAMN05977370,
GUT_GENOME144443,Netherlands,Unknown,PRJNA352198,100.8580488,SAMN05977360,
GUT_GENOME144444,Canada,Unknown,PRJNA231221,102.3150039,SAMN07312478,
GUT_GENOME144445,Mexico,Unknown,PRJNA414631,99.40172712,SAMN07796321,
GUT_GENOME144446,NA,human faeces,PRJNA218110,102.9657465,SAMN01916957,
GUT_GENOME144447,NA,Infant diarrheic stool,PRJNA218110,101.7832752,SAMN01917241,
GUT_GENOME144448,Mexico,Unknown,PRJNA230969,101.6576175,SAMN04992992,
GUT_GENOME144449,Mexico,Unknown,PRJNA230969,101.5991753,SAMN04992995,
GUT_GENOME144450,Argentina,Unknown,PRJNA230969,102.1857259,SAMN04992334,
GUT_GENOME144451,United States,Unknown,PRJNA230969,101.8643296,SAMN04992172,
GUT_GENOME144452,Zambia,Unknown,PRJNA230969,100.845935,SAMN04992124,
GUT_GENOME144453,United States,Unknown,PRJNA230969,100.1317828,SAMN04992128,
GUT_GENOME144454,Zambia,Unknown,PRJNA230969,102.2176823,SAMN04992119,
GUT_GENOME144455,Zambia,Unknown,PRJNA230969,100.8695259,SAMN04992121,
GUT_GENOME144456,Zambia,Unknown,PRJNA230969,99.92029512,SAMN04992594,
GUT_GENOME144457,Zambia,Unknown,PRJNA230969,97.90244195,SAMN04992589,
GUT_GENOME144458,Zambia,Unknown,PRJNA230969,102.2427737,SAMN04992586,
GUT_GENOME144459,Zambia,Unknown,PRJNA230969,102.1554639,SAMN04992587,
GUT_GENOME144460,Zambia,Unknown,PRJNA230969,102.236099,SAMN04992583,
GUT_GENOME144461,Zambia,Unknown,PRJNA230969,102.0083987,SAMN04992580,
GUT_GENOME144462,Zambia,Unknown,PRJNA230969,100.4807964,SAMN04992577,
GUT_GENOME144463,Zambia,Unknown,PRJNA230969,99.4648424,SAMN04992578,
GUT_GENOME144464,Zambia,Unknown,PRJNA230969,102.2429361,SAMN04992574,
GUT_GENOME144465,Zambia,Unknown,PRJNA230969,102.0125043,SAMN04992571,
GUT_GENOME144466,Zambia,Unknown,PRJNA230969,101.6882937,SAMN04992570,
GUT_GENOME144467,Canada,Unknown,PRJNA230969,100.6047952,SAMN04992562,
GUT_GENOME144468,Zambia,Unknown,PRJNA230969,101.8269164,SAMN04992127,
GUT_GENOME144469,Zambia,Unknown,PRJNA230969,100.0465511,SAMN04992126,
GUT_GENOME144470,Zambia,Unknown,PRJNA230969,101.578911,SAMN04992125,
GUT_GENOME144471,Zambia,Unknown,PRJNA230969,99.85021393,SAMN04992120,
GUT_GENOME144472,Zambia,Unknown,PRJNA230969,101.8174993,SAMN04992123,
GUT_GENOME144473,Zambia,Unknown,PRJNA230969,101.8010353,SAMN04992118,
GUT_GENOME144474,Zambia,Unknown,PRJNA230969,101.8205184,SAMN04992116,
GUT_GENOME144475,Zambia,Unknown,PRJNA230969,99.49792486,SAMN04992117,
GUT_GENOME144476,Zambia,Unknown,PRJNA230969,100.4535412,SAMN04992105,
GUT_GENOME144477,Zambia,Unknown,PRJNA230969,97.2783483,SAMN04992597,
GUT_GENOME144478,Zambia,Unknown,PRJNA230969,102.2240121,SAMN04992593,
GUT_GENOME144479,Zambia,Unknown,PRJNA230969,102.2361735,SAMN04992592,
GUT_GENOME144480,Zambia,Unknown,PRJNA230969,102.4260368,SAMN04992591,
GUT_GENOME144481,Zambia,Unknown,PRJNA230969,99.84371139,SAMN04992590,
GUT_GENOME144482,Zambia,Unknown,PRJNA230969,99.23146186,SAMN04992588,
GUT_GENOME144483,Zambia,Unknown,PRJNA230969,101.9870886,SAMN04992584,
GUT_GENOME144484,Zambia,Unknown,PRJNA230969,101.7884302,SAMN04992585,
GUT_GENOME144485,Zambia,Unknown,PRJNA230969,99.84460446,SAMN04992581,
GUT_GENOME144486,Zambia,Unknown,PRJNA230969,102.5044837,SAMN04992576,
GUT_GENOME144487,Zambia,Unknown,PRJNA230969,101.9586674,SAMN04992579,
GUT_GENOME144488,Zambia,Unknown,PRJNA230969,102.1812763,SAMN04992575,
GUT_GENOME144489,Zambia,Unknown,PRJNA230969,101.778451,SAMN04992572,
GUT_GENOME144490,Zambia,Unknown,PRJNA230969,100.1268007,SAMN04992573,
GUT_GENOME144491,Zambia,Unknown,PRJNA230969,101.1216887,SAMN04992569,
GUT_GENOME144492,Zambia,Unknown,PRJNA230969,102.2787566,SAMN04992567,
GUT_GENOME144493,Canada,Unknown,PRJNA230969,102.0823255,SAMN04992565,
GUT_GENOME144494,Canada,Unknown,PRJNA230969,100.0931252,SAMN04992564,
GUT_GENOME144495,India,Unknown,PRJNA427657,103.0117496,SAMN08242382,
GUT_GENOME144496,China,Unknown,PRJNA382299,100.0451874,SAMN06703218,
GUT_GENOME144497,China,Unknown,PRJNA418674,102.3121202,SAMN06209723,
GUT_GENOME144498,United Kingdom,Unknown,PRJNA315192,101.8199017,SAMN08498861,
GUT_GENOME144499,Norway,Unknown,PRJNA362852,101.9153574,SAMN06250205,
GUT_GENOME144500,China,Unknown,PRJNA431867,101.1732359,SAMN08409128,
GUT_GENOME144501,NA,Unknown,NA,99.90239781,GUT_GENOME144501,
GUT_GENOME144502,NA,human faeces,PRJNA218110,101.8579699,SAMN08627830,
GUT_GENOME144503,United States,Unknown,PRJNA218110,101.9001888,SAMN08579553,
GUT_GENOME144504,United States,Unknown,PRJNA218110,102.8926813,SAMN08579554,
GUT_GENOME144505,United States,Unknown,PRJNA218110,100.3772608,SAMN08579556,
GUT_GENOME144506,United States,Unknown,PRJNA218110,102.5472479,SAMN08579559,
GUT_GENOME144507,United States,Unknown,PRJNA218110,101.4439961,SAMN08579564,
GUT_GENOME144508,United States,Unknown,PRJNA218110,101.8599111,SAMN08579575,
GUT_GENOME144509,United States,Unknown,PRJNA218110,101.6155137,SAMN02991246,
GUT_GENOME144510,United States,Unknown,PRJNA218110,102.247839,SAMN08579580,
GUT_GENOME144511,United States,Unknown,PRJNA218110,103.0147728,SAMN08579579,
GUT_GENOME144512,United States,Unknown,PRJNA218110,102.5425493,SAMN08579606,
GUT_GENOME144513,United States,Unknown,PRJNA218110,101.4458876,SAMN08579596,
GUT_GENOME144514,United States,Unknown,PRJNA218110,100.2309995,SAMN08579603,
GUT_GENOME144515,United States,Unknown,PRJNA218110,101.3457243,SAMN08579558,
GUT_GENOME144516,United States,Unknown,PRJNA218110,101.4458698,SAMN08579576,
GUT_GENOME144517,Austria,Unknown,PRJNA438891,100.5650456,SAMN08731618,
GUT_GENOME144518,Romania,Unknown,PRJEB19376,100.9479989,SAMEA81315418,
GUT_GENOME144519,United Republic of Tanzania,Unknown,PRJEB23541,101.9857426,SAMEA104399933,
GUT_GENOME144520,United Republic of Tanzania,Unknown,PRJEB23541,92.59612303,SAMEA104399948,
GUT_GENOME144521,United Republic of Tanzania,Unknown,PRJEB23541,102.0123828,SAMEA104399949,
GUT_GENOME144522,Romania,Unknown,PRJEB19376,100.4119482,SAMEA81317668,
GUT_GENOME144523,Romania,Unknown,PRJEB19376,101.9980049,SAMEA81316168,
GUT_GENOME144524,Romania,Unknown,PRJEB19376,101.9383603,SAMEA81318418,
GUT_GENOME144525,Romania,Unknown,PRJEB19376,101.8606512,SAMEA81314668,
GUT_GENOME144526,Romania,Unknown,PRJEB19376,100.5114757,SAMEA81316918,
GUT_GENOME144527,Switzerland,Unknown,PRJNA453674,99.97105672,SAMN08985439,
GUT_GENOME144528,China,Unknown,PRJNA449899,101.5680417,SAMN08932126,
GUT_GENOME144529,China,Unknown,PRJNA449899,102.6070863,SAMN08932127,
GUT_GENOME144530,Switzerland,Unknown,PRJNA453674,99.96886836,SAMN08985455,
GUT_GENOME144531,China,Unknown,PRJNA418674,102.5612194,SAMN06209728,
GUT_GENOME144532,Austria,Unknown,PRJNA438891,100.7896698,SAMN08731627,
GUT_GENOME144533,Germany,Unknown,PRJNA438891,101.7345986,SAMN08731206,
GUT_GENOME144534,Austria,Unknown,PRJNA438891,99.6356493,SAMN08731628,
GUT_GENOME144535,Austria,Unknown,PRJNA438891,100.004577,SAMN08731631,
GUT_GENOME144536,Austria,Unknown,PRJNA438891,99.77206204,SAMN08731662,
GUT_GENOME144537,United States,Unknown,PRJNA218110,100.1890386,SAMN08579601,
GUT_GENOME144538,United States,Unknown,PRJNA218110,102.7397645,SAMN08579610,
GUT_GENOME144539,United States,Unknown,PRJNA218110,100.823324,SAMN08579592,
GUT_GENOME144540,United States,Unknown,PRJNA218110,101.4405731,SAMN08579590,
GUT_GENOME144541,United States,Unknown,PRJNA218110,102.799644,SAMN02991245,
GUT_GENOME144542,United States,Unknown,PRJNA218110,100.9398242,SAMN08579589,
GUT_GENOME144543,United States,Unknown,PRJNA218110,101.4937265,SAMN08579584,
GUT_GENOME144544,United States,Unknown,PRJNA218110,103.1266873,SAMN08579581,
GUT_GENOME144545,United States,Unknown,PRJNA218110,99.61432779,SAMN08579567,
GUT_GENOME144546,United States,Unknown,PRJNA218110,102.5752819,SAMN08579574,
GUT_GENOME144547,United States,Unknown,PRJNA218110,100.022876,SAMN08579568,
GUT_GENOME144548,United States,Unknown,PRJNA218110,102.1312223,SAMN08579566,
GUT_GENOME144549,United States,Unknown,PRJNA218110,102.7428619,SAMN08579562,
GUT_GENOME144550,United States,Unknown,PRJNA218110,102.8377473,SAMN02991240,
GUT_GENOME144551,United States,Unknown,PRJNA218110,100.8721228,SAMN08579557,
GUT_GENOME144552,United States,Unknown,PRJNA218110,102.6366592,SAMN02991250,
GUT_GENOME144553,United States,Unknown,PRJNA218110,99.89944341,SAMN08579600,
GUT_GENOME144554,United States,Unknown,PRJNA218110,100.8971905,SAMN08579598,
GUT_GENOME144555,United States,Unknown,PRJNA218110,102.4075775,SAMN08579594,
GUT_GENOME144556,United States,Unknown,PRJNA218110,102.2622844,SAMN08579593,
GUT_GENOME144557,United States,Unknown,PRJNA218110,101.4570017,SAMN08638904,
GUT_GENOME144558,United States,Unknown,PRJNA218110,102.906676,SAMN08579605,
GUT_GENOME144559,United States,Unknown,PRJNA218110,102.7594816,SAMN08579604,
GUT_GENOME144560,United States,Unknown,PRJNA218110,102.7707859,SAMN08579597,
GUT_GENOME144561,United States,Unknown,PRJNA218110,102.3828133,SAMN08579582,
GUT_GENOME144562,United States,Unknown,PRJNA218110,103.0200297,SAMN08579578,
GUT_GENOME144563,United States,Unknown,PRJNA218110,101.7751698,SAMN08579573,
GUT_GENOME144564,United States,Unknown,PRJNA218110,102.7122991,SAMN08579591,
GUT_GENOME144565,United States,Unknown,PRJNA218110,102.960576,SAMN08579583,
GUT_GENOME144566,United States,Unknown,PRJNA218110,100.0057668,SAMN08579572,
GUT_GENOME144567,United States,Unknown,PRJNA218110,100.1048487,SAMN08579565,
GUT_GENOME144568,United States,Unknown,PRJNA218110,101.2997623,SAMN08579555,
GUT_GENOME144569,Denmark,Unknown,PRJNA376817,102.5014817,SAMN08634701,
GUT_GENOME144570,Sweden,Unknown,PRJNA472712,102.5093431,SAMN09245645,
GUT_GENOME144571,Sweden,Unknown,PRJNA401330,101.0326871,SAMN07602583,
GUT_GENOME144572,United States,Unknown,PRJNA473579,101.2995737,SAMN09278797,
GUT_GENOME144573,United States,Unknown,PRJNA335991,102.5592876,SAMN05468123,
GUT_GENOME144574,China,Unknown,PRJNA472106,102.7928912,SAMN09227133,
GUT_GENOME144575,Italy,Unknown,PRJNA470577,98.46187528,SAMN09097280,
GUT_GENOME144576,Germany,Unknown,PRJNA470577,101.6954978,SAMN09097276,
GUT_GENOME144577,Germany,Unknown,PRJNA470577,100.5542275,SAMN09097275,
GUT_GENOME144578,Austria,Unknown,PRJNA470577,102.0182055,SAMN09097282,
GUT_GENOME144579,Czech Republic,Unknown,PRJNA470577,100.3500114,SAMN09097269,
GUT_GENOME144580,Czech Republic,Unknown,PRJNA470577,102.0152227,SAMN09097272,
GUT_GENOME144581,Czech Republic,Unknown,PRJNA470577,101.8922342,SAMN09097270,
GUT_GENOME144582,Germany,Unknown,PRJNA470577,101.5706328,SAMN09097266,
GUT_GENOME144583,Germany,Unknown,PRJNA470577,100.334786,SAMN09097265,
